SupplierID,Name,SalesRepID,Address,Email,PhoneNumber
SUP001,Pacific Goods,SR105,123 Ocean Ave, pacific@goods.com, (808) 555-1221
SUP002,Tropic Traders,SR108,456 Island Rd, tropic@traders.biz, (808) 555-9833
SUP003,Hibiscus Supplies,SR112,789 Palm St, hibiscus@supplies.org, (808) 555-4477
SUP004,Sunset Textiles,SR101,321 Lagoon Ln, sunset@textiles.co, (808) 555-7766
SUP005,LavaWorks Inc.,SR110,654 Crater Dr, lava@works.io, (808) 555-3366
SUP006,Honu Distribution,SR107,987 Turtle Way, honu@dist.com, (808) 555-2299
SUP007,Aloha Produce,SR114,159 Pineapple Blvd, aloha@produce.net, (808) 555-7171
SUP008,Coral Reef Imports,SR103,753 Reef Ct, coral@reefimports.com, (808) 555-8452
SUP009,Makani Ventures,SR109,852 Windy Rd, makani@ventures.biz, (808) 555-1546
SUP010,Big Island Builders,SR106,369 Volcano Pkwy, bigisland@builders.co, (808) 555-9696
SUP011,Kona Coffee Co.,SR111,741 Bean Ln, kona@coffee.com, (808) 555-7770
SUP012,Island Logistics,SR102,288 Harbor Loop, island@logistics.org, (808) 555-3377
SUP013,Hula Hardware,SR113,663 Tiki Dr, hula@hardware.net, (808) 555-4141
SUP014,Seabreeze Systems,SR104,194 Shoreline Way, seabreeze@systems.biz, (808) 555-8080
SUP015,Volcano Vibes,SR115,505 Lava Lake Rd, vibes@volcano.com, (808) 555-2323
