customer_id,customer_name,customer_type,sales_rep_id,billing_address,shipping_address,email,phone_number
CUST001,Apex Instruments,Wholesale,SR105,1450 Elm St Dallas TX,1450 Elm St Dallas TX,orders@apexinst.com,(214) 555-0191
CUST002,Vertex Robotics,Distributor,SR108,908 Maple Ave Austin TX,910 Maple Ave Austin TX,sales@vertexrobotics.io,(512) 555-0876
CUST003,Luna Tech Solutions,Retail,SR112,321 Birch Rd Plano TX,321 Birch Rd Plano TX,luna.solutions@gmail.com,(469) 555-2233
CUST004,Orion Labs Inc.,Distributor,SR101,77 Horizon Pkwy Irving TX,80 Horizon Pkwy Irving TX,contact@orionlabsinc.com,(972) 555-7711
CUST005,BluePeak Systems,Wholesale,SR110,1122 Northwood Dr Frisco TX,1124 Northwood Dr Frisco TX,info@bluepeaksys.com,(469) 555-4321
CUST006,Nova Build Co.,Retail,SR107,78 Silver Oak Ln Garland TX,78 Silver Oak Ln Garland TX,novabuild@email.com,(214) 555-9012
CUST007,Tranquil Softwares,Retail,SR114,650 Summit Dr Richardson TX,651 Summit Dr Richardson TX,support@tranquilsoft.com,(972) 555-3333
CUST008,Evolve Dynamics,Wholesale,SR103,430 Hillcrest Rd McKinney TX,431 Hillcrest Rd McKinney TX,hello@evolvedyn.com,(214) 555-8877
CUST009,Indigo Circuits,Distributor,SR109,99 Cedar Loop Denton TX,100 Cedar Loop Denton TX,indigo.circuits@yahoo.com,(940) 555-1717
CUST010,Stellar Mechanics,Wholesale,SR106,1200 Polaris Ln Allen TX,1202 Polaris Ln Allen TX,contact@stellarmech.com,(469) 555-7777
