SupplierID,Name,SalesRepID,Address,Email,PhoneNumber
SUP001,Pacific Goods,SR105,123 Ocean Ave, pacific@goods.com, (808) 555-1221
SUP002,Tropic Traders,SR108,456 Island Rd, tropic@traders.biz, (808) 555-9833
SUP003,Hibiscus Supplies,SR112,789 Palm St, hibiscus@supplies.org, (808) 555-4477
SUP004,Sunset Textiles,SR101,321 Lagoon Ln, sunset@textiles.co, (808) 555-7766
SUP005,LavaWorks Inc.,SR110,654 Crater Dr, lava@works.io, (808) 555-3366
SUP006,Honu Distribution,SR107,987 Turtle Way, honu@dist.com, (808) 555-2299
SUP007,Aloha Produce,SR114,159 Pineapple Blvd, aloha@produce.net, (808) 555-7171
SUP008,Coral Reef Imports,SR103,753 Reef Ct, coral@reefimports.com, (808) 555-8452
SUP009,Makani Ventures,SR109,852 Windy Rd, makani@ventures.biz, (808) 555-1546
SUP010,Big Island Builders,SR106,369 Volcano Pkwy, bigisland@builders.co, (808) 555-9696
